date,product,region,sales_rep,quantity,unit_price,customer_rating,total_sales,month,quarter,day_of_week,price_category,rating_category
2023-01-21 11:03:03.783783783,Keyboard,East,Rep_004,19,684.2451165528763,3.0184760984307824,13000.65721450465,1,1,Saturday,Premium,Good
2023-01-22 04:35:18.918918918,Monitor,Central,Rep_013,1,1885.4812740716106,1.4691205912017802,1885.4812740716106,1,1,Sunday,Luxury,Poor
2023-01-22 22:07:34.054054054,Headphones,South,Rep_015,6,1833.725674165182,1.676247113758865,11002.354044991092,1,1,Sunday,Luxury,Poor
2023-01-23 15:39:49.189189189,Laptop,Central,Rep_011,2,72.38728651128679,2.40722002564141,144.77457302257358,1,1,Monday,Budget,Fair
2023-01-24 09:12:04.324324324,Laptop,South,Rep_010,14,927.7272266258815,4.0467035048546505,12988.18117276234,1,1,Tuesday,Premium,Excellent
2023-01-25 02:44:19.459459459,Tablet,East,Rep_003,6,1955.353254450568,3.028329696241067,11732.119526703409,1,1,Wednesday,Luxury,Good
2023-01-25 20:16:34.594594594,Tablet,East,Rep_014,14,251.0866566957478,3.551607498211846,3515.2131937404693,1,1,Wednesday,Mid-range,Good
2023-01-26 13:48:49.729729729,Mouse,Central,Rep_016,4,1118.180154047473,4.940698220362699,4472.720616189892,1,1,Thursday,Luxury,Excellent
2023-01-27 07:21:04.864864865,Phone,Central,Rep_010,8,1958.967138730153,4.072021741252838,15671.737109841224,1,1,Friday,Luxury,Excellent
2023-01-28 00:53:20.000000000,Headphones,South,Rep_010,3,1133.2160770064274,2.737445992564871,3399.6482310192823,1,1,Saturday,Luxury,Fair
2023-01-28 18:25:35.135135135,Headphones,West,Rep_012,19,420.1398407957042,2.785767687186195,7982.65697511838,1,1,Saturday,Mid-range,Fair
2023-01-29 11:57:50.270270270,Mouse,South,Rep_009,14,1185.25729868055,3.47508830816402,16593.6021815277,1,1,Sunday,Luxury,Good
2023-01-30 05:30:05.405405405,Keyboard,Central,Rep_001,17,448.65911920161636,3.6614608336756174,7627.2050264274785,1,1,Monday,Mid-range,Good
2023-01-30 23:02:20.540540540,Keyboard,Central,Rep_005,8,1063.423312644244,3.0028437033466853,8507.386501153953,1,1,Monday,Luxury,Good
2023-01-31 16:34:35.675675675,Mouse,North,Rep_020,14,194.3823249290786,3.5794448912599197,2721.3525490071006,1,1,Tuesday,Budget,Good
2023-02-01 10:06:50.810810810,Keyboard,Central,Rep_008,6,1230.691204968089,1.094129977656395,7384.147229808535,2,1,Wednesday,Luxury,Poor
2023-02-02 03:39:05.945945946,Tablet,North,Rep_011,16,1057.7403812999084,2.7184914555873765,16923.846100798535,2,1,Thursday,Luxury,Fair
2023-02-02 21:11:21.081081081,Headphones,West,Rep_012,19,1493.314669084853,2.115752304293907,28372.978712612206,2,1,Thursday,Luxury,Fair
2023-02-03 14:43:36.216216216,Mouse,South,Rep_001,14,1279.8659187596309,1.5166977809724416,17918.12286263483,2,1,Friday,Luxury,Poor
2023-02-04 08:15:51.351351351,Headphones,South,Rep_020,19,1121.7322236349755,1.3981860512351005,21312.912249064535,2,1,Saturday,Luxury,Poor
2023-02-05 01:48:06.486486486,Laptop,North,Rep_011,3,1395.0687560338363,3.41276866245867,4185.206268101509,2,1,Sunday,Luxury,Good
2023-02-05 19:20:21.621621621,Tablet,South,Rep_005,10,330.6867314658502,3.094402188610447,3306.867314658502,2,1,Sunday,Mid-range,Good
2023-02-06 12:52:36.756756756,Monitor,Central,Rep_015,19,1210.951339454278,2.9649260171358276,23008.075449631284,2,1,Monday,Luxury,Fair
2023-02-07 06:24:51.891891892,Tablet,East,Rep_005,9,385.61567550441646,2.883800235090058,3470.5410795397484,2,1,Tuesday,Mid-range,Fair
2023-02-07 23:57:07.027027027,Mouse,North,Rep_012,13,1854.7683053111678,2.968929260729633,24111.98796904518,2,1,Tuesday,Luxury,Fair
2023-02-08 17:29:22.162162162,Monitor,South,Rep_005,7,183.2515044489282,1.7800359217544632,1282.7605311424973,2,1,Wednesday,Budget,Poor
2023-02-09 11:01:37.297297297,Laptop,North,Rep_017,14,889.2307618970468,3.6083722475266025,12449.230666558655,2,1,Thursday,Premium,Good
2023-02-10 04:33:52.432432432,Mouse,North,Rep_017,9,1406.8050814281175,4.123677425544361,12661.245732853058,2,1,Friday,Luxury,Excellent
2023-02-10 22:06:07.567567567,Phone,East,Rep_012,19,943.1433127531045,4.165854163558076,17919.722942308985,2,1,Friday,Premium,Excellent
2023-02-11 15:38:22.702702702,Headphones,Central,Rep_015,15,229.5857438041596,3.4098793228138202,3443.786157062394,2,1,Saturday,Mid-range,Good
2023-02-12 09:10:37.837837837,Laptop,North,Rep_015,14,1129.0890814470795,3.0465543300760562,15807.247140259113,2,1,Sunday,Luxury,Good
2023-02-13 02:42:52.972972973,Headphones,South,Rep_006,6,1301.1822222133414,1.2440285720215796,7807.093333280049,2,1,Monday,Luxury,Poor
2023-02-13 20:15:08.108108108,Keyboard,West,Rep_012,4,1422.39500643149,2.1513251954064234,5689.58002572596,2,1,Monday,Luxury,Fair
2023-02-14 13:47:23.243243243,Phone,North,Rep_020,8,777.8566382023798,1.3730857871126796,6222.853105619039,2,1,Tuesday,Premium,Poor
2023-02-15 07:19:38.378378378,Phone,North,Rep_018,17,1149.1369435060863,4.855292643513895,19535.328039603468,2,1,Wednesday,Luxury,Excellent
2023-02-16 00:51:53.513513513,Laptop,East,Rep_014,9,928.8386261308806,1.5403205849030428,8359.547635177925,2,1,Thursday,Premium,Poor
2023-02-16 18:24:08.648648648,Phone,Central,Rep_002,1,1360.509275566894,1.6071016394044082,1360.509275566894,2,1,Thursday,Luxury,Poor
2023-02-17 11:56:23.783783783,Monitor,West,Rep_009,14,1187.9360862833962,4.558306473321968,16631.105207967546,2,1,Friday,Luxury,Excellent
2023-02-18 05:28:38.918918919,Phone,South,Rep_005,11,1075.224628140313,4.775713133905832,11827.470909543443,2,1,Saturday,Luxury,Excellent
2023-02-18 23:00:54.054054054,Headphones,West,Rep_020,3,536.5725153345849,4.063316156939639,1609.7175460037547,2,1,Saturday,Premium,Excellent
2023-02-19 16:33:09.189189189,Headphones,South,Rep_001,9,53.93610960905614,1.0216196946906795,485.42498648150524,2,1,Sunday,Budget,Poor
2023-02-20 10:05:24.324324324,Mouse,Central,Rep_003,14,389.45926685728705,1.0053850838262548,5452.429736002019,2,1,Monday,Mid-range,Poor
2023-02-21 03:37:39.459459459,Headphones,South,Rep_006,9,278.2787807771289,2.512403079149803,2504.5090269941597,2,1,Tuesday,Mid-range,Fair
2023-02-21 21:09:54.594594594,Mouse,East,Rep_005,4,925.7152527713462,1.5735814800435701,3702.8610110853847,2,1,Tuesday,Premium,Poor
2023-02-22 14:42:09.729729730,Headphones,East,Rep_005,4,1243.903393985597,1.0735445686063891,4975.613575942388,2,1,Wednesday,Luxury,Poor
2023-02-23 08:14:24.864864865,Monitor,East,Rep_001,8,465.51576693537595,2.8562667576180187,3724.1261354830076,2,1,Thursday,Mid-range,Fair
2023-02-24 01:46:40.000000000,Mouse,East,Rep_017,2,1881.161337136015,4.772247589627886,3762.32267427203,2,1,Friday,Luxury,Excellent
2023-02-24 19:18:55.135135135,Tablet,West,Rep_019,9,63.03015198658117,2.2952782996097256,567.2713678792305,2,1,Friday,Budget,Fair
2023-02-25 12:51:10.270270270,Keyboard,Central,Rep_014,14,1555.9869795724187,3.644562713714786,21783.81771401386,2,1,Saturday,Luxury,Good
2023-02-26 06:23:25.405405405,Laptop,South,Rep_012,9,1269.1493005843624,3.608941412529763,11422.343705259262,2,1,Sunday,Luxury,Good
2023-02-26 23:55:40.540540540,Headphones,South,Rep_010,16,778.4318620429797,2.004320414660671,12454.909792687675,2,1,Sunday,Premium,Fair
2023-02-27 17:27:55.675675675,Phone,East,Rep_020,17,148.45344160419546,3.6017009952954573,2523.708507271323,2,1,Monday,Budget,Good
2023-02-28 11:00:10.810810811,Headphones,East,Rep_018,16,1273.5988149793448,1.849335897147565,20377.581039669516,2,1,Tuesday,Luxury,Poor
2023-03-01 04:32:25.945945946,Phone,North,Rep_011,12,801.9463500880137,1.4880296543075562,9623.356201056164,3,1,Wednesday,Premium,Poor
2023-03-01 22:04:41.081081081,Keyboard,Central,Rep_002,3,1875.7209218557773,3.8055331422387604,5627.162765567332,3,1,Wednesday,Luxury,Good
2023-03-02 15:36:56.216216216,Keyboard,West,Rep_018,11,1106.8806460350436,1.453763268415667,12175.68710638548,3,1,Thursday,Luxury,Poor
2023-03-03 09:09:11.351351351,Keyboard,South,Rep_007,14,1882.320447022341,4.987636874357421,26352.486258312776,3,1,Friday,Luxury,Excellent
2023-03-04 02:41:26.486486486,Phone,North,Rep_015,18,1118.6630954952682,1.7338096046009173,20135.93571891483,3,1,Saturday,Mid-range,Poor
2023-03-04 20:13:41.621621621,Headphones,North,Rep_011,5,1465.1655252100013,3.37656745102583,7325.827626050006,3,1,Saturday,Luxury,Good
2023-03-05 13:45:56.756756757,Keyboard,South,Rep_018,16,1253.635590655015,2.6454982856503575,20058.16945048024,3,1,Sunday,Luxury,Fair
2023-03-06 07:18:11.891891892,Monitor,West,Rep_012,5,1491.846048171058,1.5055456896226684,7459.2302408552905,3,1,Monday,Luxury,Poor
2023-03-07 00:50:27.027027027,Mouse,North,Rep_006,3,468.60233474644673,1.1113756303096536,1405.8070042393401,3,1,Tuesday,Mid-range,Poor
2023-03-07 18:22:42.162162162,Phone,North,Rep_020,12,1346.7393066636587,3.490929129171333,16160.871679963904,3,1,Tuesday,Luxury,Good
2023-03-08 11:54:57.297297297,Phone,Central,Rep_013,1,1021.1787664608945,4.227030255156505,1021.1787664608945,3,1,Wednesday,Luxury,Excellent
2023-03-09 05:27:12.432432432,Headphones,West,Rep_020,9,1498.5087010673167,4.368062646026976,13486.57830960585,3,1,Thursday,Luxury,Excellent
2023-03-09 22:59:27.567567567,Phone,North,Rep_016,9,687.7370560960446,2.930853892307738,6189.633504864401,3,1,Thursday,Premium,Fair
2023-03-10 16:31:42.702702702,Phone,West,Rep_018,4,1785.6111996572424,4.109821868729542,7142.44479862897,3,1,Friday,Luxury,Excellent
2023-03-11 10:03:57.837837838,Keyboard,South,Rep_010,3,214.38756349213324,3.691388533954179,643.1626904763997,3,1,Saturday,Mid-range,Good
2023-03-12 03:36:12.972972973,Headphones,East,Rep_008,17,1624.0191716428167,3.897018109996533,27608.325917927883,3,1,Sunday,Luxury,Good
2023-03-12 21:08:28.108108108,Keyboard,North,Rep_018,2,1729.5732703394272,2.9703960208872564,3459.1465406788543,3,1,Sunday,Luxury,Fair
2023-03-13 14:40:43.243243243,Mouse,Central,Rep_001,1,1643.6420071653013,3.5336469609685084,1643.6420071653013,3,1,Monday,Luxury,Good
2023-03-14 08:12:58.378378378,Mouse,South,Rep_008,8,1049.8164688104632,4.222103654304227,8398.531750483706,3,1,Tuesday,Luxury,Excellent
2023-03-15 01:45:13.513513513,Keyboard,West,Rep_006,13,904.8507110599845,2.591536702228092,11763.059243779799,3,1,Wednesday,Premium,Fair
2023-03-15 19:17:28.648648648,Mouse,South,Rep_005,15,1992.7114587235098,4.223915603470335,29890.67188085265,3,1,Wednesday,Luxury,Excellent
2023-03-16 12:49:43.783783784,Headphones,North,Rep_015,8,496.8853048676161,3.3680673711562514,3975.082438940929,3,1,Thursday,Mid-range,Good
2023-03-17 06:21:58.918918919,Laptop,West,Rep_015,12,1116.408133458287,1.663604097483145,13396.897601499444,3,1,Friday,Luxury,Poor
2023-03-17 23:54:14.054054054,Keyboard,East,Rep_002,12,1357.8172744955348,1.0987366288983385,16293.807293946418,3,1,Friday,Luxury,Poor
2023-03-18 17:26:29.189189189,Monitor,South,Rep_001,14,1416.6918899297923,2.451014401596608,19833.68645901709,3,1,Saturday,Luxury,Fair
2023-03-19 10:58:44.324324324,Monitor,North,Rep_011,15,447.8480981902284,3.1867853131853594,6717.721472853426,3,1,Sunday,Mid-range,Good
2023-03-20 04:30:59.459459459,Phone,Central,Rep_010,15,1325.2884800626123,4.3592814088139535,19879.327200939184,3,1,Monday,Luxury,Excellent
2023-03-20 22:03:14.594594594,Mouse,West,Rep_018,9,1645.8206546386077,1.5099427205609848,14812.38589174747,3,1,Monday,Luxury,Poor
2023-03-21 15:35:29.729729729,Monitor,South,Rep_018,19,147.53622480116883,4.200825390734316,2803.1882712222077,3,1,Tuesday,Budget,Excellent
2023-03-22 09:07:44.864864865,Phone,South,Rep_017,8,1827.466521984367,4.452036184268907,14619.732175874937,3,1,Wednesday,Luxury,Excellent
2023-03-23 02:40:00.000000000,Laptop,East,Rep_008,19,107.53290753315156,1.6027499480033351,2043.1252431298797,3,1,Thursday,Budget,Poor
2023-03-23 20:12:15.135135135,Headphones,East,Rep_015,6,744.1435133523689,4.406377277216876,4464.861080114213,3,1,Thursday,Premium,Excellent
2023-03-24 13:44:30.270270270,Headphones,Central,Rep_008,19,80.83573265427603,4.965814271371168,1535.8789204312445,3,1,Friday,Budget,Excellent
2023-03-25 07:16:45.405405405,Headphones,Central,Rep_017,4,200.43307865218463,3.90735532419295,801.7323146087385,3,1,Saturday,Mid-range,Good
2023-03-26 00:49:00.540540540,Monitor,North,Rep_012,7,1826.7781561011543,4.139078727299951,12787.44709270808,3,1,Sunday,Luxury,Excellent
2023-03-26 18:21:15.675675675,Laptop,North,Rep_008,4,741.9786199549883,4.977661070235493,2967.914479819953,3,1,Sunday,Premium,Excellent
2023-03-27 11:53:30.810810811,Monitor,Central,Rep_014,12,878.3044843288532,3.4219250021037815,10539.653811946238,3,1,Monday,Premium,Good
2023-03-28 05:25:45.945945946,Mouse,Central,Rep_004,13,469.9215436959776,2.2315455280649976,6108.980068047709,3,1,Tuesday,Mid-range,Fair
2023-03-28 22:58:01.081081081,Monitor,West,Rep_001,3,1214.3367518641035,4.350123336304223,3643.0102555923104,3,1,Tuesday,Luxury,Excellent
2023-03-29 16:30:16.216216216,Laptop,East,Rep_001,12,1209.8662686216899,3.457943110046525,14518.395223460278,3,1,Wednesday,Luxury,Good
2023-03-30 10:02:31.351351351,Laptop,North,Rep_019,2,775.7907640591775,3.3247816948838262,1551.581528118355,3,1,Thursday,Premium,Good
2023-03-31 03:34:46.486486486,Mouse,East,Rep_016,2,699.4180000205268,2.014542222056153,1398.8360000410537,3,1,Friday,Premium,Fair
2023-03-31 21:07:01.621621621,Laptop,East,Rep_014,9,1775.680400952146,4.025337078331546,15981.123608569314,3,1,Friday,Luxury,Excellent
2023-04-01 14:39:16.756756756,Laptop,Central,Rep_016,1,797.4042673022926,1.326669103440385,797.4042673022926,4,2,Saturday,Premium,Poor
2023-04-02 08:11:31.891891892,Headphones,West,Rep_005,8,1012.3269347010961,4.697148283178645,8098.615477608769,4,2,Sunday,Luxury,Excellent
2023-04-03 01:43:47.027027027,Mouse,South,Rep_009,6,602.4442867286148,2.303293843081939,3614.6657203716886,4,2,Monday,Premium,Fair
2023-04-03 19:16:02.162162162,Tablet,West,Rep_002,6,1584.2005315463985,1.5110986111599618,9505.20318927839,4,2,Monday,Luxury,Poor
2023-04-04 12:48:17.297297297,Tablet,West,Rep_018,18,825.0239059532287,2.769466132409675,14850.430307158116,4,2,Tuesday,Premium,Fair
2023-04-05 06:20:32.432432432,Laptop,East,Rep_006,17,1051.5415407614328,1.1698796370261326,17876.20619294436,4,2,Wednesday,Luxury,Poor
2023-04-05 23:52:47.567567567,Tablet,West,Rep_009,12,544.0464816163397,3.738504777059865,6528.5577793960765,4,2,Wednesday,Premium,Good
2023-04-06 17:25:02.702702702,Tablet,North,Rep_001,6,1975.936205065441,2.9649260171358276,11855.617230392647,4,2,Thursday,Luxury,Excellent
2023-04-07 10:57:17.837837838,Laptop,East,Rep_009,8,618.4166948012596,4.349052028554035,4947.333558410077,4,2,Friday,Premium,Excellent
2023-04-08 04:29:32.972972973,Tablet,North,Rep_016,19,1552.9479352658257,1.5094778937915243,29506.01077005069,4,2,Saturday,Luxury,Poor
2023-04-08 22:01:48.108108108,Monitor,South,Rep_013,10,883.6165181956804,1.5050845484309274,8836.165181956805,4,2,Saturday,Premium,Poor
2023-04-09 15:34:03.243243243,Phone,East,Rep_009,1,452.12393991407276,4.253737929297056,452.12393991407276,4,2,Sunday,Mid-range,Excellent
2023-04-10 09:06:18.378378378,Mouse,South,Rep_013,13,1609.4515897314793,4.697017098412464,20922.870666509232,4,2,Monday,Luxury,Excellent
2023-04-11 02:38:33.513513513,Phone,East,Rep_009,17,700.5332386066342,2.8426793193339566,11909.065056312782,4,2,Tuesday,Premium,Fair
2023-04-11 20:10:48.648648648,Laptop,Central,Rep_011,3,1737.1270274257315,2.9649260171358276,5211.381082277195,4,2,Tuesday,Luxury,Fair
2023-04-12 13:43:03.783783783,Headphones,West,Rep_004,8,1834.7515105897548,2.2730481655429036,14678.012084718039,4,2,Wednesday,Luxury,Fair
2023-04-13 07:15:18.918918919,Mouse,Central,Rep_002,14,1726.656479012988,4.577060473025655,24173.19070618183,4,2,Thursday,Luxury,Excellent
2023-04-14 00:47:34.054054054,Laptop,South,Rep_006,3,118.26543387327102,3.5796116211694238,354.79630161981305,4,2,Friday,Budget,Good
2023-04-14 18:19:49.189189189,Headphones,West,Rep_014,16,1585.378022759956,2.153006308669474,25366.048364159295,4,2,Friday,Luxury,Fair
2023-04-15 11:52:04.324324324,Phone,East,Rep_004,13,852.1119596733306,2.1951314842170064,11077.455475753297,4,2,Saturday,Premium,Fair
2023-04-16 05:24:19.459459460,Laptop,West,Rep_006,17,1753.759694355339,4.564800292254409,29813.914804040764,4,2,Sunday,Luxury,Excellent
2023-04-16 22:56:34.594594594,Mouse,North,Rep_019,13,1294.0108122352406,1.0545360956232859,16822.140559058127,4,2,Sunday,Luxury,Poor
2023-04-17 16:28:49.729729730,Mouse,West,Rep_006,6,1675.6041115807188,2.2909062909065536,10053.624669484314,4,2,Monday,Luxury,Fair
2023-04-18 10:01:04.864864864,Keyboard,North,Rep_002,17,1023.8919512403289,3.217426724865476,17406.16317108559,4,2,Tuesday,Luxury,Good
2023-04-19 03:33:20.000000000,Monitor,West,Rep_018,14,1093.299733967919,1.5928698483972985,15306.196275550868,4,2,Wednesday,Luxury,Poor
2023-04-19 21:05:35.135135134,Tablet,North,Rep_013,17,331.5558826606511,1.3683950167983592,5636.450005231069,4,2,Wednesday,Mid-range,Poor
2023-04-20 14:37:50.270270270,Headphones,South,Rep_009,8,1578.7753494442431,4.26110532436224,12630.202795553945,4,2,Thursday,Luxury,Excellent
2023-04-21 08:10:05.405405406,Keyboard,Central,Rep_019,11,867.8097427505948,4.577617554594029,9545.907170256542,4,2,Friday,Premium,Excellent
2023-04-22 01:42:20.540540540,Tablet,East,Rep_013,1,1025.156230629586,4.294425683192758,1025.156230629586,4,2,Saturday,Luxury,Excellent
2023-04-22 19:14:35.675675676,Tablet,West,Rep_011,7,1580.9405424866297,4.595151558949391,11066.583797406409,4,2,Saturday,Luxury,Excellent
2023-04-23 12:46:50.810810810,Laptop,Central,Rep_001,17,1217.7485301549061,3.212447884233486,20701.725012633404,4,2,Sunday,Luxury,Good
2023-04-24 06:19:05.945945946,Tablet,East,Rep_007,10,442.1425185132015,4.249032483961368,4421.425185132015,4,2,Monday,Mid-range,Excellent
2023-04-24 23:51:21.081081080,Monitor,East,Rep_015,11,1200.9536853442407,2.9649260171358276,13210.490538786647,4,2,Monday,Luxury,Fair
2023-04-25 17:23:36.216216216,Mouse,North,Rep_001,9,844.8840730603288,3.665071445916154,7603.956657542959,4,2,Tuesday,Premium,Good
2023-04-26 10:55:51.351351350,Keyboard,South,Rep_012,9,965.5748069855322,4.955342125556658,8690.17326286979,4,2,Wednesday,Premium,Excellent
2023-04-27 04:28:06.486486486,Tablet,South,Rep_007,5,105.20698508520218,1.9029108953565097,526.0349254260109,4,2,Thursday,Budget,Poor
2023-04-27 22:00:21.621621622,Laptop,Central,Rep_015,17,459.5572315567491,2.5595989851643224,7812.472936464735,4,2,Thursday,Mid-range,Fair
2023-04-28 15:32:36.756756756,Monitor,South,Rep_019,9,598.0242586930051,2.9201895092403425,5382.218328237046,4,2,Friday,Premium,Fair
2023-04-29 09:04:51.891891892,Phone,West,Rep_001,17,1440.2720153246712,1.552061948080207,24484.62426051941,4,2,Saturday,Luxury,Poor
2023-04-30 02:37:07.027027026,Mouse,South,Rep_017,19,72.41032293132486,1.3241544418602271,1375.7961356951723,4,2,Sunday,Budget,Poor
2023-04-30 20:09:22.162162162,Mouse,Central,Rep_017,7,847.1156593968075,4.318891465286498,5929.809615777653,4,2,Sunday,Premium,Excellent
2023-05-01 13:41:37.297297296,Keyboard,South,Rep_003,9,1851.852397330179,4.907177491310344,16666.67157597161,5,2,Monday,Luxury,Excellent
2023-05-02 07:13:52.432432432,Mouse,West,Rep_012,7,268.1672022707915,2.6189002553186347,1877.1704158955406,5,2,Tuesday,Mid-range,Fair
2023-05-03 00:46:07.567567568,Tablet,North,Rep_006,13,1057.0275570262916,1.350599344778613,13741.35824134179,5,2,Wednesday,Luxury,Poor
2023-05-03 18:18:22.702702702,Laptop,Central,Rep_011,11,1583.7186456621516,1.263247042762306,17420.90510228367,5,2,Wednesday,Luxury,Poor
2023-05-04 11:50:37.837837838,Mouse,North,Rep_003,14,1887.9360496642275,4.565272825441195,26431.104695299186,5,2,Thursday,Luxury,Excellent
2023-05-05 05:22:52.972972972,Mouse,North,Rep_008,19,1506.2144470907501,2.8552569989107197,28618.074494724253,5,2,Friday,Luxury,Fair
2023-05-05 22:55:08.108108108,Phone,North,Rep_014,11,1455.102819856592,2.2801092662495677,16006.131018422513,5,2,Friday,Luxury,Fair
2023-05-06 16:27:23.243243242,Phone,East,Rep_014,13,1661.6517758817367,2.905845084957598,21601.473086462578,5,2,Saturday,Luxury,Fair
2023-05-07 09:59:38.378378378,Headphones,East,Rep_010,14,920.0923809062101,2.2732163787693893,12881.293332686942,5,2,Sunday,Premium,Fair
2023-05-08 03:31:53.513513514,Monitor,North,Rep_002,13,1621.3968386047745,2.95614310123048,21078.15890186207,5,2,Monday,Luxury,Fair
2023-05-08 21:04:08.648648648,Tablet,Central,Rep_014,1,65.5305892536297,4.438225587671747,65.5305892536297,5,2,Monday,Budget,Excellent
2023-05-09 14:36:23.783783784,Mouse,West,Rep_009,8,1852.8940579847695,3.3692054842483827,14823.152463878156,5,2,Tuesday,Luxury,Good
2023-05-10 08:08:38.918918918,Mouse,West,Rep_003,12,914.4476935584919,3.7786150912407015,10973.372322701904,5,2,Wednesday,Premium,Good
2023-05-11 01:40:54.054054054,Laptop,South,Rep_008,19,1129.0913663382078,2.4586827049373463,21452.735960425947,5,2,Thursday,Luxury,Fair
2023-05-11 19:13:09.189189188,Headphones,Central,Rep_016,12,547.0203853840205,3.954023514042075,6564.244624608246,5,2,Thursday,Premium,Good
2023-05-12 12:45:24.324324324,Monitor,East,Rep_002,8,1497.9351240388219,3.6664683395174893,11983.480992310575,5,2,Friday,Luxury,Good
2023-05-13 06:17:39.459459460,Headphones,North,Rep_006,8,199.43982262673518,1.4782479910082258,1595.5185810138814,5,2,Saturday,Budget,Poor
2023-05-13 23:49:54.594594594,Keyboard,South,Rep_012,13,1751.6398149663287,3.2905714124623384,22771.31759456227,5,2,Saturday,Luxury,Good
2023-05-14 17:22:09.729729730,Monitor,West,Rep_005,12,1664.8278165623683,2.026973985239032,19977.933798748418,5,2,Sunday,Luxury,Fair
2023-05-15 10:54:24.864864864,Mouse,East,Rep_002,16,471.31722667729446,4.216382678534371,7541.075626836711,5,2,Monday,Mid-range,Excellent
